"scope","wave","module","feature","item_id","route_or_target","canonical_area","status","severity","owner","due_date","evidence","notes","decision"
"backend_module","C","project-structure","api_contract","BE:project-structure","backend/src/modules/project-structure","api","PASSA","","","","backend/src/modules/project-structure/project-structure.service.ts; frontend/backend build 2026-03-27 ok; eligible-people/enrollments operam com people groups e exclusao protege acoes vinculadas","Fluxo ativo do projeto foi canonizado em torno de ProjectPeopleGroup e ProjectGroup; endpoints de cycle remanescentes ficaram classificados como legado da Onda D.",""
"backend_module","D","cycles","api_contract","BE:cycles","backend/src/modules/cycles","api","PASSA","","backend_contratos","","backend/src/modules/cycles removido; backend build 2026-03-27 ok","Modulo cycles removido do backend ativo e sem endpoints residuais.","remover_1_0"
"database_domain","A","tasks","schema_cardinality","DB:tasks","backend/prisma/schema.prisma","schema","PASSA","","","","backend/prisma/schema.prisma; dominio tasks com entidades e relacoes explicitas","Triagem inicial: cardinalidade de tasks aparenta aderente (validacao detalhada na fase de schema).",""
"database_domain","B","deposit","schema_cardinality","DB:deposit","backend/prisma/schema.prisma","schema","PASSA","","","","schema.prisma auditado; Prisma generate e backend build 2026-03-27 ok","Modelos e cardinalidades explícitas presentes no schema para os domínios da Onda B.",""
"database_domain","B","pantry","schema_cardinality","DB:pantry","backend/prisma/schema.prisma","schema","PASSA","","","","schema.prisma auditado; Prisma generate e backend build 2026-03-27 ok","Modelos e cardinalidades explícitas presentes no schema para os domínios da Onda B.",""
"database_domain","B","people-segments","schema_cardinality","DB:people-segments","backend/prisma/schema.prisma","schema","PASSA","","","","schema.prisma auditado; Prisma generate e backend build 2026-03-27 ok","Modelos e cardinalidades explícitas presentes no schema para os domínios da Onda B.",""
"database_domain","B","programs","schema_cardinality","DB:programs","backend/prisma/schema.prisma","schema","PASSA","","","","schema.prisma auditado; Prisma generate e backend build 2026-03-27 ok","Modelos e cardinalidades explícitas presentes no schema para os domínios da Onda B.",""
"database_domain","C","actions","schema_cardinality","DB:actions","backend/prisma/schema.prisma","schema","PASSA","","","","backend/prisma/schema.prisma auditado com migration remove-cycle-legacy + backend build 2026-03-27 ok; fluxo ativo de target PEOPLE_GROUP usa ActionPeopleGroup","Schema de actions ficou somente com ProjectGroup e PeopleGroup na cardinalidade ativa do canônico 1.0.",""
"database_domain","C","core-auth-admin","schema_cardinality","DB:core-auth-admin","backend/prisma/schema.prisma","schema","PASSA","","","","schema.prisma: RolePermission e UserRole com @@unique compostos e indices; backend build 2026-03-27 ok","Dominio core-auth-admin possui N:N explicito aderente ao contrato canonico.",""
"database_domain","C","people","schema_cardinality","DB:people","backend/prisma/schema.prisma","schema","PASSA","","","","schema.prisma: Person, PersonRelation e PersonSensitiveDocument com relacoes explicitas; personId @unique em documento sensivel","Cardinalidades de people auditadas com 1:1 e 1:N explicitos no schema.",""
"database_domain","C","people-groups","schema_cardinality","DB:people-groups","backend/prisma/schema.prisma","schema","PASSA","","","","schema.prisma: PeopleGroup e PeopleGroupParticipation com entidade associativa explicita, activeKey unico e indices","Cardinalidade de people-groups aderente ao contrato de relacoes canonicas.",""
"database_domain","C","projects","schema_cardinality","DB:projects","backend/prisma/schema.prisma","schema","PASSA","","","","schema.prisma: ProjectGroup, ProjectPeopleGroup e ProjectEnrollment explicitos; backend build 2026-03-27 ok","Cardinalidades centrais de projects auditadas com tabelas de associacao explicitas.",""
"database_domain","C","project-structure","schema_cardinality","DB:project-structure","backend/prisma/schema.prisma","schema","PASSA","","","","schema.prisma auditado com build backend 2026-03-27 ok; fluxo ativo de elegiveis/matriculas opera com ProjectPeopleGroup","ProjectStructure canônico passou a depender de ProjectPeopleGroup e ProjectGroup no fluxo ativo; tabelas de cycle ficam isoladas como legado da Onda D.",""
"database_domain","D","cycles","schema_cardinality","DB:cycles","backend/prisma/schema.prisma","schema","PASSA","","banco_migracoes","","backend/prisma/schema.prisma sem Cycle/ProjectCycle/ProjectEnrollmentCycleParticipation; prisma generate + backend build 2026-03-27 ok; prisma/seed.ts alinhado ao schema","Schema ativo removido do legado cycle; migracoes historicas permanecem apenas como registro.","remover_1_0"
"frontend_screen","A","core","route","FE:C:\server\system_development\frontend\src\app\[tenant]\(modules)\admin\audit-logs\[id]\page.tsx","C:\server\system_development\frontend\src\app\[tenant]\(modules)\admin\audit-logs\[id]\page.tsx","quality","PASSA","","","","C:\server\system_development\frontend\src\app\[tenant]\(modules)\admin\audit-logs\[id]\page.tsx; ScreenHost/module client alinhado","Triagem inicial: aderente ao shell canonico na camada de rota.",""
"frontend_screen","A","core","route","FE:C:\server\system_development\frontend\src\app\[tenant]\(modules)\admin\audit-logs\page.tsx","C:\server\system_development\frontend\src\app\[tenant]\(modules)\admin\audit-logs\page.tsx","quality","PASSA","","","","C:\server\system_development\frontend\src\app\[tenant]\(modules)\admin\audit-logs\page.tsx; ScreenHost/module client alinhado","Triagem inicial: aderente ao shell canonico na camada de rota.",""
"frontend_screen","A","core","route","FE:C:\server\system_development\frontend\src\app\[tenant]\(modules)\admin\page.tsx","C:\server\system_development\frontend\src\app\[tenant]\(modules)\admin\page.tsx","quality","PASSA","","","","C:\server\system_development\frontend\src\app\[tenant]\(modules)\admin\page.tsx; ScreenHost/module client alinhado","Triagem inicial: aderente ao shell canonico na camada de rota.",""
"frontend_screen","A","core","route","FE:C:\server\system_development\frontend\src\app\[tenant]\(modules)\admin\permissions\page.tsx","C:\server\system_development\frontend\src\app\[tenant]\(modules)\admin\permissions\page.tsx","quality","PASSA","","","","C:\server\system_development\frontend\src\app\[tenant]\(modules)\admin\permissions\page.tsx; ScreenHost/module client alinhado","Triagem inicial: aderente ao shell canonico na camada de rota.",""
"frontend_screen","A","core","route","FE:C:\server\system_development\frontend\src\app\[tenant]\(modules)\admin\roles\[id]\page.tsx","C:\server\system_development\frontend\src\app\[tenant]\(modules)\admin\roles\[id]\page.tsx","quality","PASSA","","","","frontend/src/modules/core/admin/ui/admin-role-detail-engine-client-page.tsx","Corrigido: detail sem acao Novo; mantida apenas acao Excluir quando permitido.",""
"frontend_screen","A","core","route","FE:C:\server\system_development\frontend\src\app\[tenant]\(modules)\admin\roles\new\page.tsx","C:\server\system_development\frontend\src\app\[tenant]\(modules)\admin\roles\new\page.tsx","quality","PASSA","","","","C:\server\system_development\frontend\src\app\[tenant]\(modules)\admin\roles\new\page.tsx; ScreenHost/module client alinhado","Triagem inicial: aderente ao shell canonico na camada de rota.",""
"frontend_screen","A","core","route","FE:C:\server\system_development\frontend\src\app\[tenant]\(modules)\admin\roles\page.tsx","C:\server\system_development\frontend\src\app\[tenant]\(modules)\admin\roles\page.tsx","quality","PASSA","","","","C:\server\system_development\frontend\src\app\[tenant]\(modules)\admin\roles\page.tsx; ScreenHost/module client alinhado","Triagem inicial: aderente ao shell canonico na camada de rota.",""
"frontend_screen","A","core","route","FE:C:\server\system_development\frontend\src\app\[tenant]\(modules)\admin\tenant\page.tsx","C:\server\system_development\frontend\src\app\[tenant]\(modules)\admin\tenant\page.tsx","quality","PASSA","","","","C:\server\system_development\frontend\src\app\[tenant]\(modules)\admin\tenant\page.tsx; ScreenHost/module client alinhado","Triagem inicial: aderente ao shell canonico na camada de rota.",""
"frontend_screen","A","core","route","FE:C:\server\system_development\frontend\src\app\[tenant]\(modules)\admin\users\[id]\page.tsx","C:\server\system_development\frontend\src\app\[tenant]\(modules)\admin\users\[id]\page.tsx","quality","PASSA","","","","frontend/src/modules/core/admin/ui/admin-user-detail-engine-client-page.tsx","Corrigido: detail sem acao Novo; mantida apenas acao Excluir quando permitido.",""
"frontend_screen","A","core","route","FE:C:\server\system_development\frontend\src\app\[tenant]\(modules)\admin\users\new\page.tsx","C:\server\system_development\frontend\src\app\[tenant]\(modules)\admin\users\new\page.tsx","quality","PASSA","","","","C:\server\system_development\frontend\src\app\[tenant]\(modules)\admin\users\new\page.tsx; ScreenHost/module client alinhado","Triagem inicial: aderente ao shell canonico na camada de rota.",""
"frontend_screen","A","core","route","FE:C:\server\system_development\frontend\src\app\[tenant]\(modules)\admin\users\page.tsx","C:\server\system_development\frontend\src\app\[tenant]\(modules)\admin\users\page.tsx","quality","PASSA","","","","C:\server\system_development\frontend\src\app\[tenant]\(modules)\admin\users\page.tsx; ScreenHost/module client alinhado","Triagem inicial: aderente ao shell canonico na camada de rota.",""
"frontend_screen","A","core","route","FE:C:\server\system_development\frontend\src\app\[tenant]\(modules)\auth\profile\page.tsx","C:\server\system_development\frontend\src\app\[tenant]\(modules)\auth\profile\page.tsx","quality","PASSA","","","","C:\server\system_development\frontend\src\app\[tenant]\(modules)\auth\profile\page.tsx; ScreenHost/module client alinhado","Triagem inicial: aderente ao shell canonico na camada de rota.",""
"frontend_screen","A","core","route","FE:C:\server\system_development\frontend\src\app\[tenant]\(modules)\dashboard\page.tsx","C:\server\system_development\frontend\src\app\[tenant]\(modules)\dashboard\page.tsx","quality","PASSA","","","","C:\server\system_development\frontend\src\app\[tenant]\(modules)\dashboard\page.tsx; ScreenHost/module client alinhado","Triagem inicial: aderente ao shell canonico na camada de rota.",""
"frontend_screen","A","core","route","FE:C:\server\system_development\frontend\src\app\[tenant]\(modules)\dashboard\profile\page.tsx","C:\server\system_development\frontend\src\app\[tenant]\(modules)\dashboard\profile\page.tsx","quality","PASSA","","","","C:\server\system_development\frontend\src\app\[tenant]\(modules)\dashboard\profile\page.tsx; ScreenHost/module client alinhado","Triagem inicial: aderente ao shell canonico na camada de rota.",""
"frontend_screen","A","core","route","FE:C:\server\system_development\frontend\src\app\[tenant]\(modules)\group\[id]\page.tsx","C:\server\system_development\frontend\src\app\[tenant]\(modules)\group\[id]\page.tsx","list","PASSA","","","","frontend/src/app/[tenant]/(modules)/group/* -> redirect para /projects/groups*","Corrigido: rota legado /group agora redireciona para /projects/groups (canonica).",""
"frontend_screen","A","core","route","FE:C:\server\system_development\frontend\src\app\[tenant]\(modules)\group\new\page.tsx","C:\server\system_development\frontend\src\app\[tenant]\(modules)\group\new\page.tsx","list","PASSA","","","","frontend/src/app/[tenant]/(modules)/group/* -> redirect para /projects/groups*","Corrigido: rota legado /group agora redireciona para /projects/groups (canonica).",""
"frontend_screen","A","core","route","FE:C:\server\system_development\frontend\src\app\[tenant]\(modules)\group\page.tsx","C:\server\system_development\frontend\src\app\[tenant]\(modules)\group\page.tsx","list","PASSA","","","","frontend/src/app/[tenant]/(modules)/group/* -> redirect para /projects/groups*","Corrigido: rota legado /group agora redireciona para /projects/groups (canonica).",""
"frontend_screen","A","core","route","FE:C:\server\system_development\frontend\src\app\[tenant]\(modules)\settings\page.tsx","C:\server\system_development\frontend\src\app\[tenant]\(modules)\settings\page.tsx","quality","PASSA","","","","C:\server\system_development\frontend\src\app\[tenant]\(modules)\settings\page.tsx; ScreenHost/module client alinhado","Triagem inicial: aderente ao shell canonico na camada de rota.",""
"frontend_screen","A","core","route","FE:C:\server\system_development\frontend\src\app\[tenant]\forgot-password\page.tsx","C:\server\system_development\frontend\src\app\[tenant]\forgot-password\page.tsx","quality","NA","","","","C:\server\system_development\frontend\src\app\[tenant]\forgot-password\page.tsx","Rota publica de autenticacao/onboarding; fora da validacao canonica de modulo record.","pos_1_0"
"frontend_screen","A","core","route","FE:C:\server\system_development\frontend\src\app\[tenant]\login\page.tsx","C:\server\system_development\frontend\src\app\[tenant]\login\page.tsx","quality","NA","","","","C:\server\system_development\frontend\src\app\[tenant]\login\page.tsx","Rota publica de autenticacao/onboarding; fora da validacao canonica de modulo record.","pos_1_0"
"frontend_screen","A","core","route","FE:C:\server\system_development\frontend\src\app\[tenant]\page.tsx","C:\server\system_development\frontend\src\app\[tenant]\page.tsx","list","PASSA","","","","C:\server\system_development\frontend\src\app\[tenant]\page.tsx; ScreenHost/module client alinhado","Triagem inicial: aderente ao shell canonico na camada de rota.",""
"frontend_screen","A","core","route","FE:C:\server\system_development\frontend\src\app\[tenant]\reset-password\page.tsx","C:\server\system_development\frontend\src\app\[tenant]\reset-password\page.tsx","quality","NA","","","","C:\server\system_development\frontend\src\app\[tenant]\reset-password\page.tsx","Rota publica de autenticacao/onboarding; fora da validacao canonica de modulo record.","pos_1_0"
"frontend_screen","A","core","route","FE:C:\server\system_development\frontend\src\app\page.tsx","C:\server\system_development\frontend\src\app\page.tsx","list","NA","","","","C:\server\system_development\frontend\src\app\page.tsx","Rota publica de autenticacao/onboarding; fora da validacao canonica de modulo record.","pos_1_0"
"frontend_screen","A","core","route","FE:C:\server\system_development\frontend\src\app\register\confirm\page.tsx","C:\server\system_development\frontend\src\app\register\confirm\page.tsx","quality","NA","","","","C:\server\system_development\frontend\src\app\register\confirm\page.tsx","Rota publica de autenticacao/onboarding; fora da validacao canonica de modulo record.","pos_1_0"
"frontend_screen","A","core","route","FE:C:\server\system_development\frontend\src\app\register\page.tsx","C:\server\system_development\frontend\src\app\register\page.tsx","quality","NA","","","","C:\server\system_development\frontend\src\app\register\page.tsx","Rota publica de autenticacao/onboarding; fora da validacao canonica de modulo record.","pos_1_0"
"frontend_screen","A","tasks","route","FE:C:\server\system_development\frontend\src\app\[tenant]\(modules)\tasks\[id]\page.tsx","C:\server\system_development\frontend\src\app\[tenant]\(modules)\tasks\[id]\page.tsx","list","PASSA","","","","C:\server\system_development\frontend\src\app\[tenant]\(modules)\tasks\[id]\page.tsx; ScreenHost/module client alinhado","Triagem inicial: aderente ao shell canonico na camada de rota.",""
"frontend_screen","A","tasks","route","FE:C:\server\system_development\frontend\src\app\[tenant]\(modules)\tasks\new\page.tsx","C:\server\system_development\frontend\src\app\[tenant]\(modules)\tasks\new\page.tsx","list","PASSA","","","","C:\server\system_development\frontend\src\app\[tenant]\(modules)\tasks\new\page.tsx; ScreenHost/module client alinhado","Triagem inicial: aderente ao shell canonico na camada de rota.",""
"frontend_screen","A","tasks","route","FE:C:\server\system_development\frontend\src\app\[tenant]\(modules)\tasks\page.tsx","C:\server\system_development\frontend\src\app\[tenant]\(modules)\tasks\page.tsx","list","PASSA","","","","C:\server\system_development\frontend\src\app\[tenant]\(modules)\tasks\page.tsx; ScreenHost/module client alinhado","Triagem inicial: aderente ao shell canonico na camada de rota.",""
"frontend_screen","A","core","detail_side","FE:core:admin.overview:side","frontend/src/modules/core/admin/config/admin-detail-layouts.tsx","side","PASSA","","","","frontend/src/modules/core/admin/config/admin-detail-layouts.tsx; StandardDetailMetadataSide em OverviewSide","Passada estrutural Onda A: detalhe admin overview agora usa side canonico com abas padrao.",""
"frontend_screen","A","core","detail_side","FE:core:admin.tenant:side","frontend/src/modules/core/admin/config/admin-detail-layouts.tsx","side","PASSA","","","","frontend/src/modules/core/admin/config/admin-detail-layouts.tsx; StandardDetailMetadataSide em TenantSide","Passada estrutural Onda A: detalhe de instituicao agora usa side canonico com auditoria/contexto/historico.",""
"frontend_screen","A","core","detail_side","FE:core:admin.users:side","frontend/src/modules/core/admin/config/admin-detail-layouts.tsx","side","PASSA","","","","frontend/src/modules/core/admin/config/admin-detail-layouts.tsx; StandardDetailMetadataSide em UserSide","Passada estrutural Onda A: detalhe e create de usuario agora compartilham side canonico.",""
"frontend_screen","A","core","detail_side","FE:core:admin.roles:side","frontend/src/modules/core/admin/config/admin-detail-layouts.tsx","side","PASSA","","","","frontend/src/modules/core/admin/config/admin-detail-layouts.tsx; StandardDetailMetadataSide em RoleSide","Passada estrutural Onda A: detalhe e create de perfil agora compartilham side canonico.",""
"frontend_screen","A","core","detail_side","FE:core:admin.audit:side","frontend/src/modules/core/admin/config/admin-detail-layouts.tsx","side","PASSA","","","","frontend/src/modules/core/admin/config/admin-detail-layouts.tsx; StandardDetailMetadataSide em AuditDetailSide","Passada estrutural Onda A: detalhe de auditoria agora possui side canonico.",""
"frontend_screen","A","tasks","detail_side","FE:tasks:detail:side","frontend/src/modules/tasks/config/tasks-detail-layout-contract.tsx","side","PASSA","","","","frontend/src/modules/tasks/config/tasks-detail-layout-contract.tsx; StandardDetailMetadataSide","Passada estrutural Onda A: detalhe de tasks ja aderente ao side canonico.",""
"frontend_screen","A","tasks","detail_relations","FE:tasks:detail:relations","frontend/src/modules/tasks/config/tasks-detail-layout-contract.tsx","relations","PASSA","","","","frontend/src/modules/tasks/config/tasks-detail-layout-contract.tsx; tabTemplates com relations checklist/subtasks/dependencies","Passada estrutural Onda A: detalhe de tasks ja aderente a relations canonicas.",""
"frontend_screen","A","core","detail_relations","FE:core:admin.users:relations","frontend/src/modules/core/admin/config/admin-detail-layouts.tsx","relations","PASSA","","","","frontend/src/modules/core/admin/config/admin-detail-layouts.tsx; frontend/src/modules/core/admin/ui/admin-user-create-page.tsx; frontend/src/modules/core/admin/ui/admin-user-detail-engine-client-page.tsx","Passada estrutural Onda A: relacao N:N usuarios x perfis agora usa aba canonica com list de vinculos, acao explicita de vincular e remocao no relation manager.",""
"frontend_screen","A","core","detail_relations","FE:core:admin.roles:relations","frontend/src/modules/core/admin/config/admin-detail-layouts.tsx","relations","PASSA","","","","frontend/src/modules/core/admin/config/admin-detail-layouts.tsx; frontend/src/modules/core/admin/ui/admin-role-create-page.tsx; frontend/src/modules/core/admin/ui/admin-role-detail-engine-client-page.tsx","Passada estrutural Onda A: relacao N:N perfis x permissoes agora usa aba canonica com list de vinculos, acao explicita de vincular e remocao no relation manager.",""
"frontend_screen","B","deposit","route","FE:C:\server\system_development\frontend\src\app\[tenant]\(modules)\deposit\donors\[id]\page.tsx","C:\server\system_development\frontend\src\app\[tenant]\(modules)\deposit\donors\[id]\page.tsx","list","PASSA","","","","frontend lint/build 2026-03-27 ok; list/detail/side/relations canonizados na Onda B","Onda B fechada com contratos canônicos, correção de textos, relations sem duplicação e side operacional por módulo.",""
"frontend_screen","B","deposit","route","FE:C:\server\system_development\frontend\src\app\[tenant]\(modules)\deposit\donors\new\page.tsx","C:\server\system_development\frontend\src\app\[tenant]\(modules)\deposit\donors\new\page.tsx","list","PASSA","","","","frontend lint/build 2026-03-27 ok; list/detail/side/relations canonizados na Onda B","Onda B fechada com contratos canônicos, correção de textos, relations sem duplicação e side operacional por módulo.",""
"frontend_screen","B","deposit","route","FE:C:\server\system_development\frontend\src\app\[tenant]\(modules)\deposit\donors\page.tsx","C:\server\system_development\frontend\src\app\[tenant]\(modules)\deposit\donors\page.tsx","list","PASSA","","","","frontend lint/build 2026-03-27 ok; list/detail/side/relations canonizados na Onda B","Onda B fechada com contratos canônicos, correção de textos, relations sem duplicação e side operacional por módulo.",""
"frontend_screen","B","deposit","route","FE:C:\server\system_development\frontend\src\app\[tenant]\(modules)\deposit\entries\[id]\page.tsx","C:\server\system_development\frontend\src\app\[tenant]\(modules)\deposit\entries\[id]\page.tsx","list","PASSA","","","","frontend lint/build 2026-03-27 ok; list/detail/side/relations canonizados na Onda B","Onda B fechada com contratos canônicos, correção de textos, relations sem duplicação e side operacional por módulo.",""
"frontend_screen","B","deposit","route","FE:C:\server\system_development\frontend\src\app\[tenant]\(modules)\deposit\entries\new\page.tsx","C:\server\system_development\frontend\src\app\[tenant]\(modules)\deposit\entries\new\page.tsx","list","PASSA","","","","frontend lint/build 2026-03-27 ok; list/detail/side/relations canonizados na Onda B","Onda B fechada com contratos canônicos, correção de textos, relations sem duplicação e side operacional por módulo.",""
"frontend_screen","B","deposit","route","FE:C:\server\system_development\frontend\src\app\[tenant]\(modules)\deposit\entries\page.tsx","C:\server\system_development\frontend\src\app\[tenant]\(modules)\deposit\entries\page.tsx","list","PASSA","","","","frontend lint/build 2026-03-27 ok; list/detail/side/relations canonizados na Onda B","Onda B fechada com contratos canônicos, correção de textos, relations sem duplicação e side operacional por módulo.",""
"frontend_screen","B","deposit","route","FE:C:\server\system_development\frontend\src\app\[tenant]\(modules)\deposit\exits\[id]\page.tsx","C:\server\system_development\frontend\src\app\[tenant]\(modules)\deposit\exits\[id]\page.tsx","list","PASSA","","","","frontend lint/build 2026-03-27 ok; list/detail/side/relations canonizados na Onda B","Onda B fechada com contratos canônicos, correção de textos, relations sem duplicação e side operacional por módulo.",""
"frontend_screen","B","deposit","route","FE:C:\server\system_development\frontend\src\app\[tenant]\(modules)\deposit\exits\new\page.tsx","C:\server\system_development\frontend\src\app\[tenant]\(modules)\deposit\exits\new\page.tsx","list","PASSA","","","","frontend lint/build 2026-03-27 ok; list/detail/side/relations canonizados na Onda B","Onda B fechada com contratos canônicos, correção de textos, relations sem duplicação e side operacional por módulo.",""
"frontend_screen","B","deposit","route","FE:C:\server\system_development\frontend\src\app\[tenant]\(modules)\deposit\exits\page.tsx","C:\server\system_development\frontend\src\app\[tenant]\(modules)\deposit\exits\page.tsx","list","PASSA","","","","frontend lint/build 2026-03-27 ok; list/detail/side/relations canonizados na Onda B","Onda B fechada com contratos canônicos, correção de textos, relations sem duplicação e side operacional por módulo.",""
"frontend_screen","B","deposit","route","FE:C:\server\system_development\frontend\src\app\[tenant]\(modules)\deposit\history\page.tsx","C:\server\system_development\frontend\src\app\[tenant]\(modules)\deposit\history\page.tsx","list","PASSA","","","","frontend lint/build 2026-03-27 ok; list/detail/side/relations canonizados na Onda B","Onda B fechada com contratos canônicos, correção de textos, relations sem duplicação e side operacional por módulo.",""
"frontend_screen","B","deposit","route","FE:C:\server\system_development\frontend\src\app\[tenant]\(modules)\deposit\items\[id]\page.tsx","C:\server\system_development\frontend\src\app\[tenant]\(modules)\deposit\items\[id]\page.tsx","list","PASSA","","","","frontend lint/build 2026-03-27 ok; list/detail/side/relations canonizados na Onda B","Onda B fechada com contratos canônicos, correção de textos, relations sem duplicação e side operacional por módulo.",""
"frontend_screen","B","deposit","route","FE:C:\server\system_development\frontend\src\app\[tenant]\(modules)\deposit\items\new\page.tsx","C:\server\system_development\frontend\src\app\[tenant]\(modules)\deposit\items\new\page.tsx","list","PASSA","","","","frontend lint/build 2026-03-27 ok; list/detail/side/relations canonizados na Onda B","Onda B fechada com contratos canônicos, correção de textos, relations sem duplicação e side operacional por módulo.",""
"frontend_screen","B","deposit","route","FE:C:\server\system_development\frontend\src\app\[tenant]\(modules)\deposit\items\page.tsx","C:\server\system_development\frontend\src\app\[tenant]\(modules)\deposit\items\page.tsx","list","PASSA","","","","frontend lint/build 2026-03-27 ok; list/detail/side/relations canonizados na Onda B","Onda B fechada com contratos canônicos, correção de textos, relations sem duplicação e side operacional por módulo.",""
"frontend_screen","B","deposit","route","FE:C:\server\system_development\frontend\src\app\[tenant]\(modules)\deposit\page.tsx","C:\server\system_development\frontend\src\app\[tenant]\(modules)\deposit\page.tsx","list","PASSA","","","","frontend lint/build 2026-03-27 ok; list/detail/side/relations canonizados na Onda B","Onda B fechada com contratos canônicos, correção de textos, relations sem duplicação e side operacional por módulo.",""
"frontend_screen","B","deposit","route","FE:C:\server\system_development\frontend\src\app\[tenant]\(modules)\deposit\stock\page.tsx","C:\server\system_development\frontend\src\app\[tenant]\(modules)\deposit\stock\page.tsx","list","PASSA","","","","frontend lint/build 2026-03-27 ok; list/detail/side/relations canonizados na Onda B","Onda B fechada com contratos canônicos, correção de textos, relations sem duplicação e side operacional por módulo.",""
"frontend_screen","B","pantry","route","FE:C:\server\system_development\frontend\src\app\[tenant]\(modules)\pantry\donors\[id]\page.tsx","C:\server\system_development\frontend\src\app\[tenant]\(modules)\pantry\donors\[id]\page.tsx","list","PASSA","","","","frontend lint/build 2026-03-27 ok; list/detail/side/relations canonizados na Onda B","Onda B fechada com contratos canônicos, correção de textos, relations sem duplicação e side operacional por módulo.",""
"frontend_screen","B","pantry","route","FE:C:\server\system_development\frontend\src\app\[tenant]\(modules)\pantry\donors\new\page.tsx","C:\server\system_development\frontend\src\app\[tenant]\(modules)\pantry\donors\new\page.tsx","list","PASSA","","","","frontend lint/build 2026-03-27 ok; list/detail/side/relations canonizados na Onda B","Onda B fechada com contratos canônicos, correção de textos, relations sem duplicação e side operacional por módulo.",""
"frontend_screen","B","pantry","route","FE:C:\server\system_development\frontend\src\app\[tenant]\(modules)\pantry\donors\page.tsx","C:\server\system_development\frontend\src\app\[tenant]\(modules)\pantry\donors\page.tsx","list","PASSA","","","","frontend lint/build 2026-03-27 ok; list/detail/side/relations canonizados na Onda B","Onda B fechada com contratos canônicos, correção de textos, relations sem duplicação e side operacional por módulo.",""
"frontend_screen","B","pantry","route","FE:C:\server\system_development\frontend\src\app\[tenant]\(modules)\pantry\entries\[id]\page.tsx","C:\server\system_development\frontend\src\app\[tenant]\(modules)\pantry\entries\[id]\page.tsx","list","PASSA","","","","frontend lint/build 2026-03-27 ok; list/detail/side/relations canonizados na Onda B","Onda B fechada com contratos canônicos, correção de textos, relations sem duplicação e side operacional por módulo.",""
